1.640	1207.11	0	0.000
1.765	999.00	0	0.000
1.847	1207.12	0	0.000
1.931	1207.08	0	0.000
2.024	1207.13	0	0.000
2.103	1207.09	0	0.000
2.189	1207.12	0	0.000
2.268	237.45	0	0.000
2.351	999.00	0	0.000
2.432	1207.05	0	0.000
2.510	1207.16	0	0.000
2.591	1207.06	0	0.000
2.675	999.00	0	0.000
2.754	1207.07	0	0.000
2.838	1207.11	0	0.000
2.921	1207.14	0	0.000
3.002	1207.05	0	0.000
3.083	1207.18	0	0.000
3.166	999.00	0	0.000
3.245	1207.13	0	0.000
3.330	1206.92	0	0.000
3.408	1207.08	0	0.000
3.491	1207.18	0	0.000
3.573	999.00	0	0.000
3.654	1207.18	0	0.000
3.734	1207.12	0	0.000
3.823	1207.20	0	0.000
3.904	1207.16	0	0.000
3.989	1207.19	0	0.000
4.069	999.00	0	0.000
4.147	1207.21	0	0.000
4.230	1207.23	0	0.000
4.310	1207.34	0	0.000
4.392	1207.26	0	0.000
4.475	999.00	0	0.000
4.556	1207.19	0	0.000
4.636	1207.14	0	0.000
4.724	234.96	0	0.000
4.805	234.89	0	0.000
4.907	999.00	0	0.000
4.994	237.02	0	0.000
5.090	1207.15	0	0.000
5.177	234.48	0	0.000
5.264	234.89	0	0.000
5.347	234.48	0	0.000
5.433	234.53	0	0.000
5.516	999.00	0	0.000
5.598	234.83	0	0.000
5.690	234.39	0	0.000
5.772	234.23	0	0.000
5.861	234.07	0	0.000
5.940	234.89	0	0.000
6.030	234.46	0	0.000
6.110	999.00	0	0.000
6.198	234.89	0	0.000
6.287	233.99	0	0.000
6.373	1207.14	0	0.000
6.466	999.00	0	0.000
6.551	1207.24	0	0.000
6.636	1207.15	0	0.000
6.719	1207.12	0	0.000
6.806	1207.13	0	0.000
6.888	234.00	0	0.000
6.973	1207.22	0	0.000
7.060	999.00	0	0.000
7.142	1207.20	0	0.000
7.231	1207.14	0	0.000
7.311	1207.24	0	0.000
7.401	1207.19	0	0.000
7.481	1207.13	0	0.000
7.567	999.00	0	0.000
7.657	1207.09	0	0.000
7.741	1207.14	0	0.000
7.828	1207.12	0	0.000
7.910	1207.11	0	0.000
7.998	245.24	0	0.000
8.080	1207.16	0	0.000
8.163	999.00	0	0.000
8.252	1207.19	0	0.000
8.333	1207.08	0	0.000
8.423	235.83	0	0.000
8.503	999.00	0	0.000
8.593	234.13	0	0.000
8.672	235.00	0	0.000
8.762	235.46	0	0.000
8.847	234.62	0	0.000
8.934	235.09	0	0.000
9.030	235.07	0	0.000
9.120	999.00	0	0.000
9.202	235.04	0	0.000
9.288	238.45	0	0.000
9.382	235.01	0	0.000
9.472	246.98	0	0.000
9.557	235.42	0	0.000
9.645	235.37	0	0.000
9.733	234.06	0	0.000
9.818	233.65	0	0.000
9.909	999.00	0	0.000
9.993	233.63	0	0.000
10.079	234.51	0	0.000
10.161	233.68	0	0.000
10.247	234.57	0	0.000
10.330	235.54	0	0.000
10.414	999.00	0	0.000
10.503	1207.05	0	0.000
10.585	1207.05	0	0.000
10.678	1207.17	0	0.000
10.762	999.00	0	0.000
10.855	235.89	0	0.000
11.508	999.00	0	0.000
11.601	1207.10	0	0.000
11.682	1207.17	0	0.000
11.774	233.33	0	0.000
11.855	331.47	0	0.000
11.945	999.00	0	0.000
12.026	1207.12	0	0.000
12.118	1207.08	0	0.000
12.201	236.09	17	2.036
12.290	235.86	17	2.036
12.377	1207.17	17	2.036
12.469	236.23	17	2.036
12.555	233.27	17	2.036
12.672	999.00	0	0.000
12.754	999.00	0	0.000
12.841	229.86	0	0.000
12.925	238.36	0	0.000
13.013	999.00	0	0.000
13.096	1207.17	0	0.000
13.184	225.26	0	0.000
13.268	232.58	0	0.000
13.355	999.00	0	0.000
13.436	227.53	0	0.000
13.525	229.17	0	0.000
13.607	999.00	0	0.000
13.695	227.86	0	0.000
13.777	226.94	0	0.000
13.865	226.56	0	0.000
13.947	228.79	0	0.000
14.039	228.45	17	2.036
14.121	227.52	17	2.036
14.210	999.00	17	2.036
14.292	228.31	17	2.036
14.381	228.44	17	2.036
14.462	999.00	17	2.036
14.552	1207.10	17	2.036
14.632	1207.07	17	2.036
14.720	1207.03	17	2.036
14.801	1207.06	17	2.036
14.890	220.33	17	2.036
14.973	216.20	17	2.036
