0.0050
0.0000	 425	 0.000 
0.0050	 429	 0.000 
0.0100	 421	 0.000 
0.0150	 430	 0.000 
0.0200	 423	 0.000 
0.0250	 423	 0.000 
0.0300	 429	 0.000 
0.0350	 422	 0.000 
0.0400	 430	 0.000 
0.0450	 424	 0.000 
0.0500	 427	 0.000 
0.0550	 430	 0.000 
0.0600	 423	 0.000 
0.0650	 432	 0.000 
0.0700	 425	 0.000 
0.0750	 428	 0.000 
0.0800	 432	 0.000 
0.0850	 423	 0.000 
0.0900	 431	 0.000 
0.0950	 425	 0.000 
0.1000	 429	 0.000 
0.1050	 429	 0.000 
0.1100	 424	 0.000 
0.1150	 435	 0.000 
0.1200	 425	 0.000 
0.1250	 427	 0.000 
0.1300	 432	 0.000 
0.1350	 424	 0.000 
0.1400	 433	 0.000 
0.1450	 427	 0.000 
0.1500	 429	 0.000 
0.1550	 433	 0.000 
0.1600	 423	 0.000 
0.1650	 434	 0.000 
0.1700	 427	 0.000 
0.1750	 430	 0.000 
0.1800	 433	 0.000 
0.1850	 424	 0.000 
0.1900	 435	 0.000 
0.1950	 424	 0.000 
0.2000	 429	 0.000 
0.2050	 434	 0.000 
0.2100	 424	 0.000 
0.2150	 433	 0.000 
0.2200	 427	 0.000 
0.2250	 430	 0.000 
0.2300	 434	 0.000 
0.2350	 425	 0.000 
0.2400	 435	 0.000 
0.2450	 427	 0.000 
0.2500	 430	 0.000 
0.2550	 433	 0.000 
0.2600	 426	 0.000 
0.2650	 436	 0.000 
0.2700	 427	 0.000 
0.2750	 430	 0.000 
0.2800	 435	 0.000 
0.2850	 428	 0.000 
0.2900	 437	 0.000 
0.2950	 428	 0.000 
0.3000	 432	 0.000 
0.3050	 435	 0.000 
0.3100	 425	 0.000 
0.3150	 437	 0.000 
0.3200	 430	 0.000 
0.3250	 430	 0.000 
0.3300	 435	 0.000 
0.3350	 428	 0.000 
0.3400	 439	 0.000 
0.3450	 429	 0.000 
0.3500	 433	 0.000 
0.3550	 436	 0.000 
0.3600	 428	 0.000 
0.3650	 438	 0.000 
0.3700	 430	 0.000 
0.3750	 432	 0.000 
0.3800	 436	 0.000 
0.3850	 431	 0.000 
0.3900	 437	 0.000 
0.3950	 430	 0.000 
0.4000	 433	 0.000 
0.4050	 436	 0.000 
0.4100	 428	 0.000 
0.4150	 438	 0.000 
0.4200	 429	 0.000 
0.4250	 433	 0.000 
0.4300	 437	 0.000 
0.4350	 428	 0.000 
0.4400	 438	 0.000 
0.4450	 430	 0.000 
0.4500	 433	 0.000 
0.4550	 437	 0.000 
0.4600	 429	 0.000 
0.4650	 438	 0.000 
0.4700	 430	 0.000 
0.4750	 433	 0.000 
0.4800	 436	 0.000 
0.4850	 428	 0.000 
0.4900	 438	 0.000 
0.4950	 431	 0.000 
0.5000	 434	 0.000 
0.5050	 437	 0.000 
0.5100	 430	 0.000 
0.5150	 438	 0.000 
0.5200	 431	 0.000 
0.5250	 434	 0.000 
0.5300	 437	 0.000 
0.5350	 429	 0.000 
0.5400	 438	 0.000 
0.5450	 431	 0.000 
0.5500	 434	 0.000 
0.5550	 435	 0.000 
0.5600	 430	 0.000 
0.5650	 440	 0.000 
0.5700	 432	 0.000 
0.5750	 433	 0.000 
0.5800	 437	 0.000 
0.5850	 429	 0.000 
0.5900	 438	 0.000 
0.5950	 432	 0.000 
0.6000	 435	 0.000 
0.6050	 436	 0.000 
0.6100	 430	 0.000 
0.6150	 439	 0.000 
0.6200	 430	 0.000 
0.6250	 432	 0.000 
0.6300	 437	 0.000 
0.6350	 430	 0.000 
0.6400	 439	 0.000 
0.6450	 432	 0.000 
0.6500	 434	 0.000 
0.6550	 437	 0.000 
0.6600	 428	 0.000 
0.6650	 439	 0.000 
0.6700	 431	 0.000 
0.6750	 436	 0.000 
0.6800	 436	 0.000 
0.6850	 430	 0.000 
0.6900	 439	 0.000 
0.6950	 431	 0.000 
0.7000	 434	 0.000 
0.7050	 436	 0.000 
0.7100	 428	 0.000 
0.7150	 440	 0.000 
0.7200	 431	 0.000 
0.7250	 433	 0.000 
0.7300	 437	 0.000 
0.7350	 430	 0.000 
0.7400	 437	 0.000 
0.7450	 430	 0.000 
0.7500	 434	 0.000 
0.7550	 438	 0.000 
0.7600	 429	 0.000 
0.7650	 438	 0.000 
0.7700	 431	 0.000 
0.7750	 436	 0.000 
0.7800	 436	 0.000 
0.7850	 429	 0.000 
0.7900	 437	 0.000 
0.7950	 431	 0.000 
0.8000	 434	 0.000 
0.8050	 437	 0.000 
0.8100	 431	 0.000 
0.8150	 436	 0.000 
0.8200	 430	 0.000 
0.8250	 435	 0.000 
0.8300	 437	 0.000 
0.8350	 427	 0.000 
0.8400	 439	 0.000 
0.8450	 430	 0.000 
0.8500	 434	 0.000 
0.8550	 435	 0.000 
0.8600	 429	 0.000 
0.8650	 438	 0.000 
0.8700	 430	 0.000 
0.8750	 434	 0.000 
0.8800	 436	 0.000 
0.8850	 429	 0.000 
0.8900	 437	 0.000 
0.8950	 431	 0.000 
0.9000	 434	 0.000 
0.9050	 436	 0.000 
0.9100	 429	 0.000 
0.9150	 440	 0.000 
0.9200	 431	 0.000 
0.9250	 433	 0.000 
0.9300	 436	 0.000 
0.9350	 429	 0.000 
0.9400	 438	 0.000 
0.9450	 431	 0.000 
0.9500	 435	 0.000 
0.9550	 436	 0.000 
0.9600	 430	 0.000 
0.9650	 439	 0.000 
0.9700	 429	 0.000 
0.9750	 434	 0.000 
0.9800	 438	 0.000 
0.9850	 429	 0.000 
0.9900	 439	 0.000 
0.9950	 431	 0.000 
1.0050	 437	 0.000 
1.0050	 437	 0.000 
1.0100	 430	 0.000 
1.0150	 440	 0.000 
1.0200	 429	 0.000 
1.0250	 428	 0.000 
1.0300	 423	 0.000 
1.0350	 411	 0.000 
1.0400	 413	 0.000 
1.0450	 402	 0.000 
1.0500	 401	 0.000 
1.0550	 400	 0.000 
1.0600	 393	 0.000 
1.0650	 399	 0.000 
1.0700	 393	 0.000 
1.0750	 394	 0.000 
1.0800	 394	 0.000 
1.0850	 389	 0.000 
1.0900	 398	 0.000 
1.0950	 392	 0.000 
1.1000	 405	 0.000 
1.1050	 424	 0.000 
1.1100	 439	 0.000 
1.1150	 465	 0.000 
1.1200	 469	 0.000 
1.1250	 483	 0.000 
1.1300	 485	 0.000 
1.1350	 481	 0.000 
1.1400	 499	 0.000 
1.1450	 486	 0.000 
1.1500	 485	 0.000 
1.1550	 470	 0.000 
1.1600	 433	 0.000 
1.1650	 416	 0.000 
1.1700	 396	 0.000 
1.1750	 390	 0.000 
1.1800	 388	 0.000 
1.1850	 382	 0.000 
1.1900	 386	 0.000 
1.1950	 381	 0.000 
1.2000	 388	 0.000 
1.2050	 403	 0.000 
1.2100	 424	 0.000 
1.2150	 469	 0.000 
1.2200	 477	 0.000 
1.2250	 495	 0.000 
1.2300	 504	 0.000 
1.2350	 497	 0.000 
1.2400	 512	 0.000 
1.2450	 495	 0.000 
1.2500	 484	 0.000 
1.2550	 456	 0.000 
1.2600	 422	 0.000 
1.2650	 415	 0.000 
1.2700	 401	 0.000 
1.2750	 399	 0.000 
1.2800	 400	 0.000 
1.2850	 391	 0.000 
1.2900	 399	 0.000 
1.2950	 402	 0.000 
1.3000	 427	 0.000 
1.3050	 453	 0.000 
1.3100	 464	 0.000 
1.3150	 485	 0.000 
1.3200	 475	 0.000 
1.3250	 488	 0.000 
1.3300	 493	 0.000 
1.3350	 477	 0.000 
1.3400	 475	 0.000 
1.3450	 434	 0.000 
1.3500	 410	 0.000 
1.3550	 397	 0.000 
1.3600	 386	 0.000 
1.3650	 388	 0.000 
1.3700	 381	 0.000 
1.3750	 383	 0.000 
1.3800	 385	 0.000 
1.3850	 391	 0.000 
1.3900	 425	 0.000 
1.3950	 448	 0.000 
1.4000	 480	 0.000 
1.4050	 495	 0.000 
1.4100	 490	 0.000 
1.4150	 510	 0.000 
1.4200	 499	 0.000 
1.4250	 499	 0.000 
1.4300	 483	 0.000 
1.4350	 445	 0.000 
1.4400	 426	 0.000 
1.4450	 407	 0.000 
1.4500	 403	 0.000 
1.4550	 400	 0.000 
1.4600	 392	 0.000 
1.4650	 398	 0.000 
1.4700	 394	 0.000 
1.4750	 409	 0.000 
1.4800	 435	 0.000 
1.4850	 451	 0.000 
1.4900	 478	 0.000 
1.4950	 474	 0.000 
1.5060	 494	 5.556 
1.5060	 492	 5.556 
1.5100	 482	 5.556 
1.5150	 487	 5.556 
1.5200	 452	 5.556 
1.5250	 424	 5.556 
1.5300	 404	 5.556 
1.5350	 389	 5.556 
1.5400	 390	 5.556 
1.5450	 382	 5.556 
1.5500	 383	 5.556 
1.5550	 384	 5.556 
1.5600	 384	 5.556 
1.5650	 410	 5.556 
1.5700	 433	 5.556 
1.5750	 470	 5.556 
1.5800	 488	 5.556 
1.5850	 489	 5.556 
1.5900	 508	 5.556 
1.5950	 499	 5.556 
1.6060	 493	 5.556 
1.6060	 495	 5.556 
1.6100	 460	 5.556 
1.6150	 438	 5.556 
1.6200	 412	 5.556 
1.6250	 405	 5.556 
1.6300	 402	 5.556 
1.6350	 394	 5.556 
1.6400	 399	 5.556 
1.6450	 391	 5.556 
1.6500	 403	 5.556 
1.6550	 424	 5.556 
1.6600	 443	 5.556 
1.6650	 473	 5.556 
1.6700	 471	 5.556 
1.6750	 483	 5.556 
1.6800	 489	 5.556 
1.6850	 486	 5.556 
1.6900	 492	 5.556 
1.6950	 464	 5.556 
1.7060	 411	 5.556 
1.7060	 410	 5.556 
1.7100	 395	 5.556 
1.7150	 391	 5.556 
1.7200	 384	 5.556 
1.7250	 384	 5.556 
1.7300	 383	 5.556 
1.7350	 382	 5.556 
1.7400	 399	 5.556 
1.7450	 417	 5.556 
1.7500	 457	 5.556 
1.7550	 482	 5.556 
1.7600	 486	 5.556 
1.7650	 505	 5.556 
1.7700	 497	 5.556 
1.7750	 506	 5.556 
1.7800	 502	 5.556 
1.7850	 475	 5.556 
1.7900	 452	 5.556 
1.7950	 418	 5.556 
1.8060	 404	 5.556 
1.8060	 402	 5.556 
1.8100	 395	 5.556 
1.8150	 399	 5.556 
1.8200	 392	 5.556 
1.8250	 397	 5.556 
1.8300	 412	 5.556 
1.8350	 430	 5.556 
1.8400	 465	 5.556 
1.8450	 467	 5.556 
1.8500	 482	 5.556 
1.8550	 485	 5.556 
1.8600	 483	 5.556 
1.8650	 496	 5.556 
1.8700	 475	 5.556 
1.8750	 455	 5.556 
1.8800	 424	 5.556 
1.8850	 400	 5.556 
1.8900	 395	 5.556 
1.8950	 385	 5.556 
1.9060	 384	 5.747 
1.9060	 386	 5.747 
1.9100	 382	 5.747 
1.9150	 393	 5.747 
1.9200	 403	 5.747 
1.9250	 440	 5.747 
1.9300	 473	 5.747 
1.9350	 481	 5.747 
1.9400	 504	 5.747 
1.9450	 495	 5.747 
1.9500	 506	 5.747 
1.9550	 504	 5.747 
1.9600	 486	 5.747 
1.9650	 470	 5.747 
1.9700	 430	 5.747 
1.9750	 416	 5.747 
1.9800	 406	 5.747 
1.9850	 397	 5.747 
1.9900	 402	 5.747 
1.9950	 392	 5.747 
2.0060	 407	 5.714 
2.0060	 408	 5.714 
2.0100	 419	 5.714 
2.0150	 455	 5.714 
2.0200	 462	 5.714 
2.0250	 480	 5.714 
2.0300	 484	 5.714 
2.0350	 480	 5.714 
2.0400	 497	 5.714 
2.0450	 480	 5.714 
2.0500	 471	 5.714 
2.0550	 439	 5.714 
2.0600	 407	 5.714 
2.0650	 399	 5.714 
2.0700	 386	 5.714 
2.0750	 386	 5.714 
2.0800	 384	 5.714 
2.0850	 380	 5.714 
2.0900	 389	 5.714 
2.0950	 393	 5.714 
2.1060	 464	 5.714 
2.1060	 465	 5.714 
2.1100	 475	 5.714 
2.1150	 500	 5.714 
2.1200	 493	 5.714 
2.1250	 505	 5.714 
2.1300	 508	 5.714 
2.1350	 492	 5.714 
2.1400	 484	 5.714 
2.1450	 443	 5.714 
2.1500	 423	 5.714 
2.1550	 411	 5.714 
2.1600	 399	 5.714 
2.1650	 403	 5.714 
2.1700	 392	 5.714 
2.1750	 396	 5.714 
2.1800	 399	 5.714 
2.1850	 406	 5.714 
2.1900	 441	 5.714 
2.1950	 453	 5.714 
2.2050	 481	 5.556 
2.2060	 487	 5.556 
2.2100	 478	 5.556 
2.2150	 497	 5.556 
2.2200	 484	 5.556 
2.2250	 482	 5.556 
2.2300	 458	 5.556 
2.2350	 421	 5.556 
2.2400	 407	 5.556 
2.2450	 390	 5.556 
2.2500	 388	 5.556 
2.2550	 385	 5.556 
2.2600	 380	 5.556 
2.2650	 386	 5.556 
2.2700	 386	 5.556 
2.2750	 407	 5.556 
2.2800	 440	 5.556 
2.2850	 465	 5.556 
2.2900	 493	 5.556 
2.2950	 490	 5.556 
2.3050	 506	 5.587 
2.3060	 509	 5.587 
2.3100	 496	 5.587 
2.3150	 500	 5.587 
2.3200	 462	 5.587 
2.3250	 435	 5.587 
2.3300	 417	 5.587 
2.3350	 403	 5.587 
2.3400	 405	 5.587 
2.3450	 394	 5.587 
2.3500	 396	 5.587 
2.3550	 397	 5.587 
2.3600	 400	 5.587 
2.3650	 427	 5.587 
2.3700	 443	 5.587 
2.3750	 468	 5.587 
2.3800	 479	 5.587 
2.3850	 477	 5.587 
2.3900	 493	 5.587 
2.3950	 485	 5.587 
2.4050	 470	 5.556 
2.4060	 475	 5.556 
2.4100	 437	 5.556 
2.4150	 416	 5.556 
2.4200	 395	 5.556 
2.4250	 391	 5.556 
2.4300	 387	 5.556 
2.4350	 381	 5.556 
2.4400	 386	 5.556 
2.4450	 382	 5.556 
2.4500	 395	 5.556 
2.4550	 421	 5.556 
2.4600	 449	 5.556 
2.4650	 486	 5.556 
2.4700	 486	 5.556 
2.4750	 502	 5.556 
2.4800	 505	 5.556 
2.4850	 500	 5.556 
2.4900	 508	 5.556 
2.4950	 477	 5.556 
2.5050	 422	 5.714 
2.5060	 425	 5.714 
2.5100	 408	 5.714 
2.5150	 407	 5.714 
2.5200	 396	 5.714 
2.5250	 397	 5.714 
2.5300	 395	 5.714 
2.5350	 394	 5.714 
2.5400	 414	 5.714 
2.5450	 429	 5.714 
2.5500	 458	 5.714 
2.5550	 474	 5.714 
2.5600	 475	 5.714 
2.5650	 491	 5.714 
2.5700	 483	 5.714 
2.5750	 492	 5.714 
2.5800	 484	 5.714 
2.5850	 456	 5.714 
2.5900	 431	 5.714 
2.5950	 401	 5.714 
2.6050	 389	 5.556 
2.6060	 388	 5.556 
2.6100	 384	 5.556 
2.6150	 388	 5.556 
2.6200	 381	 5.556 
2.6250	 387	 5.556 
2.6300	 406	 5.556 
2.6350	 432	 5.556 
2.6400	 476	 5.556 
2.6450	 479	 5.556 
2.6500	 498	 5.556 
2.6550	 502	 5.556 
2.6600	 500	 5.556 
2.6650	 512	 5.556 
2.6700	 488	 5.556 
2.6750	 472	 5.556 
2.6800	 438	 5.556 
2.6850	 414	 5.556 
2.6900	 409	 5.556 
2.6950	 398	 5.556 
2.7050	 398	 5.714 
2.7060	 397	 5.714 
2.7100	 393	 5.714 
2.7150	 405	 5.714 
2.7200	 415	 5.714 
2.7250	 447	 5.714 
2.7300	 467	 5.714 
2.7350	 472	 5.714 
2.7400	 489	 5.714 
2.7450	 479	 5.714 
2.7500	 494	 5.714 
2.7550	 489	 5.714 
2.7600	 470	 5.714 
