0.01
0.000	671.0	0.000	0.000	0
0.010	680.0	0.000	0.000	9.0
0.020	672.0	0.000	0.000	-8.0
0.030	459.0	0.000	0.000	-213.0
0.040	404.0	0.000	0.000	-55.0
0.050	398.0	0.000	0.000	-6.0
0.060	399.0	0.000	0.000	1.0
0.070	428.0	0.000	0.000	29.0
0.080	629.0	0.000	0.000	201.0
0.090	674.0	0.000	0.000	45.0
0.100	674.0	0.000	0.000	0.0
0.110	688.0	0.000	0.000	14.0
0.120	555.0	0.000	0.000	-133.0
0.130	406.0	0.000	0.000	-149.0
0.140	397.0	0.000	0.000	-9.0
0.150	399.0	0.000	0.000	2.0
0.160	409.0	0.000	0.000	10.0
0.170	561.0	0.000	0.000	152.0
0.180	665.0	0.000	0.000	104.0
0.190	669.0	0.000	0.000	4.0
0.200	679.0	0.000	0.000	10.0
0.210	589.0	0.000	5.556	-90.0
0.220	418.0	0.000	5.556	-171.0
0.230	403.0	0.000	5.556	-15.0
0.240	399.0	0.000	5.556	-4.0
0.250	401.0	0.000	5.556	2.0
0.260	511.0	5.260	5.556	110.0
0.270	663.0	5.260	5.556	152.0
0.280	671.0	5.260	5.556	8.0
0.290	679.0	5.260	5.556	8.0
0.300	674.0	5.260	5.556	-5.0
0.310	447.0	5.260	5.556	-227.0
0.320	402.0	5.260	5.556	-45.0
0.330	399.0	5.260	5.556	-3.0
0.340	401.0	5.260	5.556	2.0
0.350	448.0	5.260	5.556	47.0
0.360	636.0	5.260	5.556	188.0
0.370	669.0	5.260	5.556	33.0
0.380	675.0	5.260	5.556	6.0
0.390	672.0	5.260	5.556	-3.0
0.400	474.0	5.260	5.556	-198.0
0.410	407.0	5.260	5.556	-67.0
0.420	402.0	5.260	5.556	-5.0
0.430	401.0	5.260	5.556	-1.0
0.440	410.0	5.260	5.556	9.0
0.450	593.0	5.260	5.556	183.0
0.460	671.0	5.260	5.556	78.0
0.470	672.0	5.260	5.556	1.0
0.480	688.0	5.260	5.556	16.0
0.490	570.0	5.260	5.556	-118.0
0.500	406.0	5.260	5.556	-164.0
0.510	398.0	5.560	5.556	-8.0
0.520	401.0	5.560	5.556	3.0
0.530	407.0	5.560	5.556	6.0
0.540	544.0	5.560	5.556	137.0
0.550	663.0	5.560	5.556	119.0
0.560	669.0	5.560	5.556	6.0
0.570	680.0	5.560	5.556	11.0
0.580	619.0	5.560	5.556	-61.0
0.590	422.0	5.560	5.556	-197.0
0.600	401.0	5.560	5.556	-21.0
0.610	400.0	5.560	5.263	-1.0
0.620	402.0	5.560	5.263	2.0
0.630	487.0	5.560	5.263	85.0
0.640	656.0	5.560	5.263	169.0
0.650	670.0	5.560	5.263	14.0
0.660	676.0	5.560	5.263	6.0
0.670	686.0	5.560	5.263	10.0
0.680	479.0	5.560	5.263	-207.0
0.690	400.0	5.560	5.263	-79.0
0.700	398.0	5.560	5.263	-2.0
0.710	401.0	5.560	5.263	3.0
0.720	428.0	5.560	5.263	27.0
0.730	620.0	5.560	5.263	192.0
0.740	668.0	5.560	5.263	48.0
0.750	672.0	5.560	5.263	4.0
0.760	675.0	5.560	5.263	3.0
0.770	488.0	5.560	5.263	-187.0
0.780	408.0	5.560	5.263	-80.0
0.790	400.0	5.560	5.263	-8.0
0.800	398.0	5.560	5.263	-2.0
0.810	407.0	5.560	5.556	9.0
